D1,D2,title,cluster
-2.8712814,-13.3813925,Obludia,0
-20.28943,7.8085175,At the Mountains of Madness,0
-25.083715,-12.178282,Endless Inside,0
-15.974246,2.2611334,THE Z LAND : FPS SURVIVAL,0
-20.174482,8.797089,Final_SIM,0
-18.85321,1.9417952,SCP022,0
-16.440012,-15.053449,Black Rose,0
-16.128323,-14.985671,Kidnapped,0
-17.818254,6.745973,The Eerie Inn,0
-17.690409,4.8458366,The Call of Karen,0
-20.174482,8.797089,Sparky's Hunt,0
-20.299534,8.896763,Shut Eye,0
-20.52839,9.12971,Madness of the Architect,0
-20.875181,-16.747957,Locked Fears,0
-19.442064,9.783867,SECTOR 40: The Soviet Legacy,0
-20.100576,8.829757,Erusal,0
-20.952656,-17.368992,I'm on Observation Duty 2: Timothy's Revenge,0
-20.667887,7.9685025,The Secrets of The Forest,0
-19.796967,8.317112,Past Cure,0
-17.344877,7.1817403,Firewood,0
-28.326578,-23.92938,Camp Sunshine,0
-22.724714,-2.433235,Amigdala,0
-28.230011,-7.826565,Smell Of Death,0
-20.194435,8.764622,Eseapner,0
-21.260958,8.940778,Bubonic: Outbreak,0
-17.917011,6.549386,_dive,0
-20.860165,9.175668,Grave Chase,0
-20.100576,8.829757,DeadTruth: The Dark Path Ahead,0
-18.87271,8.563456,CRIMSON ROOM® DECADE,0
6.115912,7.59333,BioCrisis,0
25.566504,26.930182,Arachnophobia,0
